#Name	GXT	Strand	Mission End Coords 			Cities Unlocked		Phone Activated	Mission Start Coords		
#			X	Y	Z	Start	End		X	Y	Z
ashley1	E1M_17	3	-1470.17	489.873	19.5703	-1	-1	Y	-76.2895	1530.153	17.6536
ashley2	E1M_18	3	1258.17	1479.99	16.7728						
billy1	E1M_1	0	-1703.8	356.506	25.2915						
billy2	E1M_2	0	-120.157	1607.73	19.911						
billy3	E1M_3	0	-1251.67	-544.44	2.46213						
billy4	E1M_4	0	-577.516	1213.4	10.2463						
billy5	E1M_5	0	1366.71	184.617	27.0186						
billy6	E1M_6	0	-1750.56	337.571	25.4491						
elizabeta1	E1M_19	4	930.004	1563.96	16.7774						
elizabeta2	E1M_20	4	383.074	1539.64	16.1368						
elizabeta3	E1M_21	4	301.393	-136.893	4.73334						
jim1	E1M_7	1	-1285.73	687.556	15.402						
jim2	E1M_8	1	-1714.27	-560.843	2.43962						
jim4	E1M_10	1	-2190.6	-38.5554	6.77756						
jim5	E1M_11	1	-1715.68	360.676	25.449						
jim6	E1M_12	1	-1950.25	-75.2895	11.3759						
ray1	E1M_22	5	-308.087	-41.1909	14.0456						
ray2	E1M_23	5	-186.212	1376.39	19.6922	-1	-1	Y	-392.0739	1155	13.5538
ray3	E1M_24	5	-1712.91	358.721	25.449						
stubbs1	E1M_13	2	2238.64	198.481	6.11059						
stubbs2	E1M_14	2	-1523.19	-692.44	7.18015						
stubbs4	E1M_16	2	-1950.53	-85.473	6.58107						
