#Name	GXT	Strand	Mission End Coords 			Cities Unlocked		Phone Activated	Mission Start Coords			Suit Mission	Alternative Mission Start			Stack Size
#			X	Y	Z	Start	End		X	Y	Z		X	Y	Z	
bell2	M_79	19	-667.194	1214.48	5.913	3										
bell5	M_81	19	-1523.484	148.69	34.575	3										
bell6	M_82	19	-970.853	1862.44	22.465	3										
bell7	M_83	19	-1151.767	1421.808	24.056	3										
bernie1	M_76	18	10.705	-649.52	14.756	2										
bernie2	M_77	18	-542.948	802.92	8.567	2										
bernie3	M_78	18	842.122	935.903	1.861	2										
brucie1	M_38	8	1221.975	300.693	32.907	1										
brucie2	M_39	8	860.887	-121.14	5.93	1										
brucie3a	M_40	8	975.63	-169.539	23.974	1										
brucie3b	M_41	8	880.079	-484.209	15.888	1	-1	Y	922.6024	-458.8094	15.408					
brucie4	M_42	8	774.937	121.135	5.659	1										
cia1	M_54	12	993.051	-213.68	24.093	2										
cia2	M_55	12	1160.441	576.075	38.671	2										
cia3	M_56	12	2332.932	79.699	5.814	2										
cia4	M_57	12	368.495	-730.543	4.196	2	-1	Y	-331.1505	1739.992	11.9969					
derrick1	M_73	16	-1234.312	1521.401	23.707	3										
derrick2	M_74	16	1117.137	1527.727	16.581	3										
derrick3	M_75	16	-1557.932	1223.378	11.853	3										
dwayne1	M_36	7	-141.996	71.456	14.763	2										
dwayne3	M_37	7	1156.575	1682.044	17.727	2										
elizabeta1	M_32	6	601.439	1498.416	31.524	1										
elizabeta2	M_33	6	-419.301	1492.99	18.43	1	2									
elizabeta3	M_34	6	709.979	1431.182	14.87	2										
elizabeta4	M_35	6	1227.739	699.732	37.34	2										
faustin1	M_22	4	913.152	557.789	22.149	1										
faustin2	M_23	4	1336.464	-845.795	8.343	1										
faustin3	M_24	4	748.999	1480.48	27.675	1										
faustin4	M_25	4	1874.156	846.417	16.097	1										
faustin5	M_26	4	542.535	1461.413	10.355	1										
faustin6	M_27	4	966.844	-287.967	34.076	1										
faustin7	M_28	4	1483.443	54.503	24.377	1	-1	Y	817.1942	-253.1177	14.339					
finale1a	M_91	0	-1977.481	-29.298	6.368	3	-1	N	-1948.928	-28.0541	5.4149					
finale1b	M_92	0	725.07	-286.983	5.825	3	-1	N	830.5897	-162.7108	5.0155					
finale1c	M_93	0	603.212	1411.49	17.485	3	-1	Y	1397.263	752.3849	27.5038	Y	-291.3782	-242.0071	13.1672	
finale1d	F1MF1d	0	603.212	1411.49	17.485	3										
finale2	F1MF2	0	-639.6038	-688.597	6.051	3	-1	Y	-1332.927	829.0295	18.5647	N	-1332.927	829.0295	19	
francis1	M_47	11	-7.001	1407.999	20.429	2										
francis2a	M_48	11	-339.701	1392.499	12.919	2										
francis2b	M_49	11	-421.834	306.52	11.178	2	-1	Y	-15.1029	-486.1599	13.7612	Y				
francis3	M_50	11	-65.972	1273.589	20.406	2										
francis4	M_51	11	-163.174	1374.377	20.435	2										
francis5	M_52	11	78.448	384.716	14.766	3										
francis6	M_53	11	469.198	306.893	8.572	3	-1	Y	-188.9088	-67.5675	13.7599	Y				
gambetti1	M_88	21	-176.902	-363.374	14.349	3										
gambetti2	M_89	21	-1204.375	1085.827	17.786	3										
gambetti3	M_90	21	-1420.923	560.777	18.968	3										
gerry1	M_67	15	-356.587	1704.49	17.468	2										
gerry2	M_68	15	-360.791	54.008	14.868	2										
gerry3a	M_69	15	-1571.877	461.389	24.949	3										
gerry3b	M_70	15	-1003.712	1215.728	24.109	3	-1	Y	-1574.096	220.8813	11.9255					
gerry4	M_71	15	-286.609	1564.978	20.271	3	-1	N	-1149.248	-372.5366	2.0117					
gerry5	M_72	15	1399.033	599.682	31.728	3	-1	N	-322.317	1554.067	20.4146					
jacob1	M_19	3	1483.443	54.503	24.377	1										
jacob2	M_20	3	561.404	1391.558	30.857	1										
jimmy1	M_84	20	-1397.744	1453.287	25.16	3										
jimmy2	M_85	20	-1467.501	1140.426	23.052	3										
jimmy3	M_86	20	-1309.967	1283.941	22.391	3										
jimmy4	C24C_M4	20	120.243	1121.942	14.237	3	-1	Y	-185.4428	1409.908	19.3894					
jimmy4a	C24C_M4	20	-1397.978	1462.427	25.181	3										
manny1	M_29	5	692.455	1458.852	14.762	1										
manny2	M_30	5	703.547	1477.502	14.688	1										
manny3	M_31	5	1309.968	-50.12	34.918	1										
michelle1	M_96	2	930.974	177.492	32.821	1	-1	N	842.122	935.903	1.861	N	842.122	935.903	1.861	1828
