#Name	GXT	Strand	Mission End Coords 			Cities Unlocked		Phone Activated	Mission Start Coords		
#			X	Y	Z	Start	End		X	Y	Z
brother1	E2M_13	1	412.625	-433.141	-0.0918453						
brother2	E2M_14	1	-337.776	931.279	14.2868						
brother3	E2M_15	1	193.816	691.793	4.68646						
bulgarin1	E2M_24	5	1575.5	575.554	28.5528						
bulgarin2	E2M_25	5	184.853	154.113	14.7416						
bulgarin3	E2M_26	5	-130.595	-240.53	12.793						
friends1	E2M_21	3	-177.398	1509.53	17.8923						
friends2	E2M_22	3	-163.89	1552.33	18.3858						
mum1	E2M_23	4	-385.102	1463.15	16.2053						
rocco1	E2M_27	6	-464.303	156.816	9.86387						
tony1	E2M_1	0	-434.852	1393.67	16.4626						
tony2	E2M_2	0	-77.5316	-229.618	13.8979						
tony3	E2M_3	0	-89.2392	-226.96	13.9212						
tony4a	E2M_4	0	-1582.1	464.535	25.4492						
tony4b	E2M_6	0	-611.578	-913.257	4.84286	-1	-1	Y	-517.271	379.334	6.66871
tony5	E2M_7	0	1781.57	161.622	21.2485						
tony6	E2M_5	0	-447.911	296.416	11.0549						
tony7	E2M_8	0	-449.036	353.832	10.8499						
tony8	E2M_9	0	-700.047	364.776	4.07659						
tony9	E2M_10	0	-829.779	776.375	6.32802						
tony10	E2M_11	0	502.03	-496.538	1.49107						
tony11	E2M_12	0	-465.905	153.52	9.85592						
yusuf1	E2M_17	2	241.874	-327.355	9.07661						
yusuf2	E2M_18	2	-188.165	124.848	14.7629						
yusuf3	E2M_19	2	70.0112	-848.275	4.90066						
yusuf4	E2M_20	2	1498.57	917.354	15.2997						
